"outcome","label","n_baseline","n_openpop","mean_baseline","mean_openpop","diff","diff_pct","ci_low","ci_high","t_stat","df","p_raw","cohens_d","d_magnitude","p_adj_holm","sig_holm"
"retention_rate","Retention rate (%)",300,300,45.0666666666667,40.6077442731146,-4.45892239355211,-9.8940585655742,-5.32601853926566,-3.59182624783856,-10.0993305555781,596.673990238761,3.02676483377719e-22,-0.824606886828841,"large",1.5133824168886e-21,TRUE
"avg_motivation","Mean motivation",300,300,0.712003867469906,0.695863457495842,-0.0161404099740645,-2.26689919977811,-0.0237286568832058,-0.00855216306492325,-4.17757790264899,582.473849543754,3.39801242776434e-05,-0.341097807407212,"small",6.79602485552867e-05,TRUE
"avg_language_cefr","Language CEFR gain",300,300,1.04608053828634,0.851223076903787,-0.194857461382549,-18.6273861572609,-0.216611383755034,-0.173103539010064,-17.5918772946101,594.792589582596,4.36934194691172e-56,-1.43637076631492,"large",2.62160516814703e-55,TRUE
"cross_group_tie_ratio","Cross-group tie ratio",300,300,0.501868220365944,0.499376402537763,-0.00249181782818103,-0.496508391458636,-0.0149015346211341,0.00991789896477203,-0.394351060274878,597.577587514459,0.693462563014993,-0.0321986292399662,"negligible",0.693462563014993,FALSE
"female_dropout_rate","Female dropout rate (%)",300,300,56.3253589663768,60.7629261619301,4.43756719555332,7.87845346569795,3.3299154681125,5.54521892299415,7.86820508112666,593.963183082808,1.7092857382589e-14,0.642436254677808,"medium",6.83714295303559e-14,TRUE
"male_dropout_rate","Male dropout rate (%)",300,300,53.5834312951864,58.0184582355262,4.43502694033975,8.27686251727251,3.23848478961248,5.63156909106703,7.27943990561761,596.825586052428,1.06192571187236e-12,0.594363779400563,"medium",3.18577713561708e-12,TRUE
