"dose","scenario","n","retention_mean","retention_se","retention_ci_low","retention_ci_high","motivation_mean","motivation_se","motivation_ci_low","motivation_ci_high","cefr_mean","cefr_se","cefr_ci_low","cefr_ci_high","tie_mean","tie_se","tie_ci_low","tie_ci_high"
1,"Suboptimal Composition",300,27.89,0.277458002486525,27.3461823151264,28.4338176848736,0.633545427193615,0.00370183458356146,0.626289831409835,0.640801022977395,0.953616885385367,0.00821296669602692,0.937519470661155,0.96971430010958,0.343001781565607,0.00867860806967681,0.325991709749041,0.360011853382174
2,"Composition2",300,32.03,0.294935512479829,31.4519263955395,32.6080736044605,0.664125900660722,0.00350326402453709,0.657259503172629,0.670992298148814,0.974434082610678,0.00810175112101492,0.958554650413488,0.990313514807867,0.473899099514771,0.00637598860989753,0.461402161839371,0.48639603719017
3,"Composition3",300,36.4233333333333,0.305308599232833,35.824928478837,37.0217381878297,0.688512929058527,0.00305250661355695,0.682530016095956,0.694495842021099,0.993784800497202,0.00785803650334285,0.97838304895065,1.00918655204375,0.50930812410665,0.00517429119498653,0.499166513364476,0.519449734848823
4,"Composition4",300,40.8,0.310930562889344,40.1905760967369,41.4094239032631,0.703924781435958,0.0029547916567245,0.698133389788778,0.709716173083138,1.01864707317372,0.00783253095940675,1.00329531249329,1.03399883385416,0.515912820692531,0.00496984845172821,0.506171917727144,0.525653723657919
5,"Baseline",300,45.0666666666667,0.31946629592592,44.4405127266519,45.6928206066815,0.712003867469906,0.00294655382312948,0.706228621976573,0.71777911296324,1.04608053828634,0.00811479282859237,1.03017554434229,1.06198553223038,0.501868220365944,0.00440825616242386,0.493228038287593,0.510508402444295
