"outcome","openpop_diff","openpop_d","h1_diff","h2_diff","h3_diff","h4_diff","ratio_h1","ratio_h2","ratio_h3","ratio_h4","robustness_note"
"retention_rate",-4.45892239355211,-0.824606886828841,-3.07266666666667,-17.1766666666667,-10.88,-8.78333333333334,1.45115721204777,0.259591833507788,0.409827425877951,0.507657198506881,"MIXED: open-cohort effect comparable to or larger than some H1-H4"
"avg_motivation",-0.0161404099740645,-0.341097807407212,-0.00359686967036865,-0.0784584402762912,-0.0907822949421466,0.00190654929709244,4.4873491266672,0.205719230680932,0.177792486787764,-8.46577111784062,"MIXED: open-cohort effect comparable to or larger than some H1-H4"
"avg_language_cefr",-0.194857461382549,-1.43637076631492,-0.00927649184354329,-0.092463652900968,-0.058989176011728,-0.0301547638149586,21.0055120695412,2.10739523335995,3.30327484730093,6.46191303564073,"MIXED: open-cohort effect comparable to or larger than some H1-H4"
"cross_group_tie_ratio",-0.00249181782818103,-0.0321986292399662,0.00138669234607114,-0.158866438800336,-0.0288656871828568,-0.062120430055374,-1.79695073333389,0.0156849857465034,0.0863245628761926,0.0401126944221061,"MIXED: open-cohort effect comparable to or larger than some H1-H4"
"female_dropout_rate",4.43756719555332,0.642436254677808,2.62137985314696,16.905022258161,10.217541747501,9.49534690734125,1.6928363854731,0.262499932137684,0.434308692366112,0.46734123975212,"MIXED: open-cohort effect comparable to or larger than some H1-H4"
"male_dropout_rate",4.43502694033975,0.594363779400563,3.51772637095719,17.3544540724875,11.4896933332187,8.09856337651945,1.26076518542088,0.255555543367436,0.386000462476864,0.547631318561813,"MIXED: open-cohort effect comparable to or larger than some H1-H4"
